addr,name,owner,score,online,gps,sync,rewards_total,rewards_today,rewards_yesterday,rewards_24h,rewards_48h,rewards_7d,rewards_7d_prior,rewards_30d,rewards_30d_prior,rewards_90d,rewards_90d_prior,rewards_365d,rewards_365d_prior
112SVt8kyBudQKnGXa98GDUw7t6KAo6LdnW1d6zjXANVKYbcovHL,salty-hemp-alligator,137SRsDdjmL6wPkVapYy1ikzmGRyeXhLkjq1azZzQWbMyTh2ZdU,0.0,online,-,99%,7975806622,85627948,570564926,656192874,1167544380,1580294322,221534403,2115749248,613144605,4808269134,3159927335,7975806622,0
1123967rzGibjo9eYjEEkJfBEMhSGrTyV6kS9brNLdiCnZyBV1JA,salty-plum-salamander,13YSRn73SqqTpwk8aar6wtWY6DmHashNDf1RG3omMHRHnqugn6G,0.0,online,-,99%,13887181187,81341466,552855551,634197017,1251048764,2569952265,5347348955,13829507539,57673648,13887181187,0,13887181187,0
11VJtgXagSfPk5DvripC5hrqGJRJ1c3N752yKL65oAw8bDcB9q2,salty-tortilla-bear,14jF6o775mdvRTiqeCfF8pgQ9imgEGiJYfb2wYCDUA3DD9a471f,0.0,online,-,99%,428054432768,82865894,2300976982,715289683,2383842876,4622977258,4746406797,26886961073,52768360504,123097675759,158823734050,428054432768,0
11Wv83R4ctMJwWBi6q499w7eu8Vkq5CXYTpCtbQoDwwD19CbkPi,savory-lead-chicken,13JJAmn87e74xR24w6mWKZteHwPaBd1agV6hqJJq22bFFMKVzDe,0.0,online,-,99%,1658761532,94607754,409924797,504532551,504532551,1658761532,0,1658761532,0,1658761532,0,1658761532,0
11fz8gLUJwSjCWtqj275VLziVdgTRXkVAfPQFjcnjBiHHowCpW4,savory-raisin-butterfly,148f6FrFVro4Yoc9FBoWRPVrEMusDGWZew2zgeSWBybK2CHmNKW,0.0,online,-,99%,11314721108,4020653,279512698,283533351,283533351,835655407,5433099770,9963144362,1351576746,11314721108,0,11314721108,0
118uwWjwupRGtih5EpxnWBtatFiewX6uQ85HrzMPpC1FGCDjRh1,scrawny-carmine-lark,13xFsGNpMGpcgvPQAnTFDaRgEFjfgMGRdzYuW8L8uqPDnTPRw5g,0.0,online,-,99%,20456896747,172390836,2066062795,2238453631,2238453631,4864411038,3188350445,15357376524,2162568009,20124947602,315403432,20456896747,0
11KSaoDJLbcw6kaysZ9pSapf29RUfyPY6CpGU1jnRWXpKhfN6Ky,scrawny-licorice-sloth,14aRw5QQefHqDGFmEaicx6w4LNNdVS6r5ePeimtJxMJ5eVcbqn5,0.0,online,-,99%,103051251230,173202139,773143395,946345534,1680063522,4926804163,4812252517,13963663951,31876840437,87367256132,7689498034,103051251230,0
112r67BnfNKj6ynC7oXDErFS5HMzz4irChx4cd2PG7RJjYaskcUf,scrawny-menthol-terrier,132poAo3WSAewzumJwCS4AGNKR5wHygPiCAC2EJbffbpFDdd5QN,0.0,online,-,99%,194114804555,152271884,1446282699,1598554583,1672211901,4273312889,5556109276,22501842674,33598254252,107025011107,85321704219,194114804555,0
112nxdD8U5ipJbibhB6BqfT64E6aJacQyuxNnWGSz9rxCkYLknBa,scrawny-pebble-chicken,14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr,0.0,online,-,99%,20946907327,232386776,2013043211,2245429987,4846824421,7629262180,5055115295,20946907327,0,20946907327,0,20946907327,0
11kwAMgQCy3xFh6rcjY271GwEkgGtAGYr9VWdAnF8oaGNSkYwkR,scruffy-lemonade-caribou,14jF6o775mdvRTiqeCfF8pgQ9imgEGiJYfb2wYCDUA3DD9a471f,0.0,online,-,99%,148270592458,57274317,543346221,600620538,1310133985,3109838433,2146416864,15734808104,26715579887,45278100364,102842650726,148270592458,0
